id_restaurant,name,review_id,text,rating
-0iLH7iQNYtoURciDpJf6w,Le Comptoir de la Gastronomie,4f5MWUZEuw4tpTd5OouLRQ,"I've been meaning to review this place forever... The food here is just fantastic, everything is delicious. Don't miss out on the ravioli, the cassoulet and...",5
-0iLH7iQNYtoURciDpJf6w,Le Comptoir de la Gastronomie,63HPACk32eYXgFyItrYIGg,A small and cozy cafe/shop with a good wine and other French delicacies. Came here for dinner every day when I was in Paris. If you love foie Gras    And...,4
-0iLH7iQNYtoURciDpJf6w,Le Comptoir de la Gastronomie,6qgF1sIQKeN5LEkEuR-MNg,"Another wonderful Yelp find, thank you!  Le Comptoir is an unpretentious bistro with amazing food.  The burgundy snails were great, pan seared foie gras...",4
IU9_wVOGBKjfqTTpAXpKcQ,Bistro des Augustins,FJno89CUP14rQaR3LYbrqQ,"I came back to this page to try to recreate this dish at home, and realized I never gave this place the 5 star review it deserved! 
The restaurant was small...",5
IU9_wVOGBKjfqTTpAXpKcQ,Bistro des Augustins,pFG15h4QGHL3QAx9dGpqaw,"Pre-COVID review:

After a day of exploring the Notre Dame Cathedral and its surrounding area, we had a late dinner at Bistro des Augustins. It's a small...",3
IU9_wVOGBKjfqTTpAXpKcQ,Bistro des Augustins,A8CtunI2ipX5AEvb6_rIOQ,"Lovely little place to grab a glass of wine and a small meal. the only real choice in the VERY touristy area. The street is a tad loud, and a little scary...",4
WHHt_Jb8Tgidn9mW7oDnIg,La Coïncidence,WMRKQUUR3BmjV_EZg7zVfw,"this is for a review from 2019, this place is perfect. would recommend 100%. prices are great, food is astounding.

and i never leave reviews.",5
WHHt_Jb8Tgidn9mW7oDnIg,La Coïncidence,-cLZhiNm1Ql8xMK6jpo6cA,We ate here on our last night on of our month in Europe. It was amazing and we were sad that we hadn't tried here earlier. It was however the most perfectly...,5
WHHt_Jb8Tgidn9mW7oDnIg,La Coïncidence,oghZR1EITb7ryHOPfOA03g,I made reservations in advance for dinner. It was out of the way of my hotel but I read a lot of reviews and wanted to see what all the hype was. In...,3
cEjF41ZQB8-SST8cd3EsEw,L'Avant Comptoir,0RGYVVGsvzqecUJqfwXCcg,Best chicken and fries I have ever had!! Service was amazing. Asked for creme brûlée and they gave us two. One of my favorite places in Paris.,5
cEjF41ZQB8-SST8cd3EsEw,L'Avant Comptoir,e48i470flZBa2LFLD-WxcQ,Paris is a place where food held at a high standard.  But one should not expect a high price for such standards in this city.  While various restaurants...,5
cEjF41ZQB8-SST8cd3EsEw,L'Avant Comptoir,CyJ9hDBBUEQK_1-eX_3TDg,"If you're ever in Paris, you must pay a visit here.  This has got to be, our favorite restaurant in Paris. We ate at many places but their Tapas and...",5
FFz-WusZrBYZexKqhqzCkg,L'As du Fallafel,E1j5WjyoBGIcpwpUutFPgw,Can not get enough of this place. I literally ate here three times within a 24 hour period =| The food is prepared to perfection. My mouth is watering just...,5
FFz-WusZrBYZexKqhqzCkg,L'As du Fallafel,eI0YvxseaYcXEXN54-GTmQ,"We got the spicy beef sausage and falafel wraps to go, so can't comment on the restaurant itself. Both were tasty, but not necessarily that much more...",4
FFz-WusZrBYZexKqhqzCkg,L'As du Fallafel,oqzXr1GBukkNkq4XuDA42A,"This place is world famous!!! 

It really is. On their sign it says ""recommended by Lenny Kravits"" and they have pictures of all of the celebrities that...",5
KggnM_Z4wOa_JExunaaWHg,Le Temps des Cerises,zO0w5AaikFyRuHMCAHRWVw,"This was the best meal and atmosphere I've had on my honeymoon! We went to a lot of ""it"" places that were overpriced and frankly, not hospitable. This...",5
KggnM_Z4wOa_JExunaaWHg,Le Temps des Cerises,GdrHVJx1Ey40l7m-p6O5LQ,"Best dinner we had in our 2 weeks in Paris.  This restaurant was great because they offered reliable options (duck, lamb, fish, etc.), but each was prepared...",5
KggnM_Z4wOa_JExunaaWHg,Le Temps des Cerises,ZORkJnawYyhr3QNZ-PxTGQ,We came here for dinner on one of the nights when visiting Paris and it was a lovely experience! This was our first night in Paris and didn't make any prior...,5
flf_IHitjG7bohr-VbOvbA,Le Petit Canard,ehtmFJVNWMrgf29pW0-xoA,I think about the duck cassoulet all the time. Will I ever taste something so sumptuous again? Any memory of my Paris vacation eventually wanders over to my...,5
flf_IHitjG7bohr-VbOvbA,Le Petit Canard,LUSuTVbkRT9rQ4ndqgwnpA,"The onion soup was the best we've had in Paris. A pleasant surprise. Wife was also very happy with her escargot. 

Wife had the duck breast for her main...",5
flf_IHitjG7bohr-VbOvbA,Le Petit Canard,V7zK85tLbizEbucQH4DpYg,"Great small owned business place! The restaurant is cozy, with a warm service and comfort and delicious food, specially if you love duck! Will
Come back for...",4
zj5rGr-hkPjPxM1oxDi3Zg,Pedzouille,3u88isx8LDU1bZGuntsJsw,This is awesome. We love the food and the service. If you want great food in a cozy restaurant. The portions are incredible and the wine is excellent. I had...,5
zj5rGr-hkPjPxM1oxDi3Zg,Pedzouille,AH35Vbdg-VOvJcIwkVoXdA,"Absolutely amazingly cooked steak and fries which is served with a choice of blue cheese sauce or the mushroom sauce , the amabiance is super rustic but...",5
zj5rGr-hkPjPxM1oxDi3Zg,Pedzouille,aX4h5fey4lxANszDv0oxEA,"OMG yesss! This place has it. Just go! Perfect service, amazing food, great vibes, and the best chocolate mousse you've ever had. E-V-E-R. Good music too. I...",5
657yy3D4SwyQN3xIjG1Iww,Le Potager du Père Thierry,h2Fj_bL0P1E5ivvfQ1roIA,I'm writing this review two years later while on a toilet in LA. I'm super hungry and dreaming about the food we ate here. The duck potato gratin whatever...,5
657yy3D4SwyQN3xIjG1Iww,Le Potager du Père Thierry,udqY9C5YakLV_ap0B_1myw,"This place is TINY. 
Which is why you must do yourself a favor if you wish to eat here- call in an advanced reservation. 

Overall; a cute farm to table...",4
657yy3D4SwyQN3xIjG1Iww,Le Potager du Père Thierry,a1STbKlFrZ2sKFUZIo2ihQ,"Disclaimer: Yes this place is tiny but if you're willing to set aside the claustrophobia syndrome then you're in for a special treat.

We started off with...",4
26Ts-2XRSeqiweSwLuyv6Q,Grenouilles,2LFnaTU6e1w1o-iE-DHjeg,Great sit down place with baguette sandwiches. It was something we definitely wanted to try while in Paris. The bread here is so good. We both go the...,5
26Ts-2XRSeqiweSwLuyv6Q,Grenouilles,LUHhyljM0ovPRLl7vWpl8A,"A gem in a super touristy section of town.  Once I saw the flaming wheel of raclette, I knew I couldn't pass by.  Simple, yet so delicious.

Jambon Raclette...",4
26Ts-2XRSeqiweSwLuyv6Q,Grenouilles,opGZhJIr4H-Ks3xf1DdtxA,Great food made with care and attention.  They do a great job using melted raclatte cheese on their sandwiches and crapes.,4
qWY5_v3XjhSfaw3KrS9eOg,Langousta,WEp3KFktAVsOWFeydasMCQ,"Came here about 7pm.
Perfect service
Ordered the la rouge & European lobster
I didn't really care for the Canadian lobster that came with the rouge but the...",5
qWY5_v3XjhSfaw3KrS9eOg,Langousta,a83TKZh6kuAnyZIuPJy6VA,A small family owned establishment in a nice quiet neighborhood. I was in the mood for fresh langoustines (scampi) and this place showed up with great...,5
qWY5_v3XjhSfaw3KrS9eOg,Langousta,XAVr1jI10kTHz6AKYuIBVg,A small quaint family owned place in a quiet residential district.  Definitely not a tourist trap.  We absolutely had a wonderful time - enjoying great food...,5
-umFmobUgpW_05m_ud1vHw,La Cordonnerie,gMD1K5mk3ka5YcJpX6zrog,"If you know, you know. Hands down my absolute favorite restaurant in Paris - this is one of only two places I insist on going every time I'm in town. I...",5
-umFmobUgpW_05m_ud1vHw,La Cordonnerie,YFj1t2LJakIlPjrSauyiPg,"Amazing steaks and wine (mostly bottle options, but also some glass sizes available)! Came here after getting a lunch reservation online, and was extremely...",4
-umFmobUgpW_05m_ud1vHw,La Cordonnerie,gIOz6eMT8G2yj9hhWLHKew,"Our family called to make a reservation the day-of, and were lucky to be seated at 7:30 that evening. Our server was kind and helped translate the daily...",5
XlBCQgnHlYUByBejO8r79g,L'Epicure,RizAouI436h2bfdxQNjO6A,There are many reasons this has been triple Michelin for 10 years.  The Epicure staff went above and beyond to make our night special.  From Emilie's warm...,5
